epoch,train_acc,validation_acc,time
1,54.945,59.227,48.629366636276245
2,56.366,59.227,73.94376921653748
3,57.287,59.227,33.306272745132446
4,57.749,59.227,36.84071946144104
5,59.071,59.227,83.1669716835022
6,57.903,59.227,61.71999382972717
7,57.825,59.227,73.88405990600586
8,58.49,59.227,35.107829093933105
9,58.035,59.227,74.6707034111023
10,58.373,59.227,44.03158402442932
11,58.012,59.227,44.452176570892334
12,57.696,59.227,42.627355337142944
13,57.984,59.227,32.42832684516907
14,58.048,59.227,33.77709770202637
15,58.3,59.227,52.5880012512207
16,58.111,59.227,32.753867387771606
17,58.209,59.227,32.82320523262024
18,58.219,56.696,79.79450011253357
19,58.193,59.227,33.44295144081116
20,58.031,59.227,55.421717405319214
21,58.999,59.227,59.371691942214966
22,57.964,59.227,32.50539422035217
23,58.365,57.416,33.16314339637756
24,58.339,59.227,84.85858178138733
25,58.694,59.227,38.8938512802124
26,58.177,59.227,33.148574352264404
27,58.338,59.227,64.11632251739502
28,58.359,57.207,46.603694438934326
29,58.138,59.227,32.27790021896362
30,58.325,59.227,32.02377247810364
31,58.44,59.227,78.11938905715942
32,58.515,59.227,33.838375091552734
33,58.258,59.227,32.12647104263306
34,62.784,71.742,33.28549098968506
35,71.662,73.498,73.97569870948792
36,72.343,74.544,64.94172310829163
37,73.501,75.641,38.727046251297
38,74.806,76.459,32.0074737071991
39,76.069,76.739,32.41036367416382
40,75.916,76.478,32.501161098480225
41,75.685,76.689,74.81909823417664
42,75.448,76.666,71.4536943435669
43,75.867,76.584,32.954384565353394
44,75.841,76.746,79.39554786682129
45,76.344,76.857,33.19023108482361
46,76.169,76.923,33.10989165306091
47,76.353,77.007,74.90396499633789
48,76.129,77.148,32.04839491844177
49,76.594,77.175,41.963611125946045
50,76.917,77.38,94.8054313659668
51,77.237,77.589,46.319090843200684
52,76.812,77.423,32.31271839141846
53,77.158,77.659,32.93078327178955
54,77.651,77.657,62.763262033462524
55,77.044,77.898,58.641019344329834
56,76.487,77.707,32.71713137626648
57,77.664,77.734,32.349008560180664
58,77.5,78.107,32.32243895530701
59,77.655,77.821,31.803778171539307
60,77.853,78.248,59.73423457145691
61,77.711,78.298,75.9789400100708
62,77.202,78.13,33.01714634895325
63,78.022,78.689,32.424689292907715
64,77.284,78.412,40.69031000137329
65,77.999,78.534,51.162537574768066
66,78.259,78.755,32.18441939353943
67,78.021,78.802,33.53541135787964
68,77.821,78.607,80.13715243339539
69,78.546,78.971,40.971030712127686
70,78.63,78.948,77.48048663139343
71,78.373,78.984,43.01643776893616
72,78.191,78.502,81.0928065776825
73,78.373,79.034,33.2694616317749
74,79.046,79.118,32.65269374847412
75,78.429,79.221,57.75153398513794
76,78.953,79.441,33.5333206653595
77,78.231,79.193,32.75630521774292
78,77.965,79.08,40.60115885734558
79,79.234,79.636,32.40034055709839
80,79.328,79.607,34.830458641052246
81,78.852,79.475,33.896722078323364
82,79.433,79.591,32.50623607635498
83,78.58,79.607,35.14970111846924
84,79.567,79.818,52.91939997673035
85,79.461,79.72,35.5357129573822
86,79.714,79.868,34.271453619003296
87,79.543,79.85,32.29295349121094
88,79.101,79.811,32.84399151802063
89,79.276,79.893,55.13006329536438
90,79.352,79.82,32.883251667022705
91,79.649,79.92,33.181644916534424
92,79.879,79.959,35.624411821365356
93,79.419,79.959,32.3210346698761
94,79.934,80.048,33.93920016288757
95,79.502,80.005,34.57256627082825
96,80.073,80.007,32.54424571990967
97,79.755,80.077,33.4419105052948
98,79.708,80.13,34.62023377418518
99,80.058,80.216,32.38848114013672
100,79.816,80.009,32.6517608165741
